"Timestamp","Have you participated in a carpool before?","What (if anything) has gotten in the way of participating in a carpool?","On a scale of 1 to 5, would the ability for you to be (1) automatically grouped with coworkers or peers in a carpool and (2) given a time-optimized route (for the driver) make you consider using one?","What (if anything) did you like about/incentivized your participation in a carpool?","On a scale of 1 to 5, would the ability for you to be (1) automatically grouped with coworkers or peers in a carpool and (2) given a time-optimized route (for the driver) make you consider using one again/more?","What is your gender?","Into which age group do you fit?","What is your annual household income?","What is your primary mode of transportation?","What is your ethnicity or race?","Do you have any feedback about this survey or application idea?"
"2016/07/28 5:18:15 PM EST","Yes","","","Convenience;Have coworkers/peers who live nearby;Stress-free commute","4","Male","26-35 years old","Prefer not to say","Car or motorcycle","Prefer not to say",""
"2016/07/28 5:21:28 PM EST","No","Too much of a hassle to plan","1","","","Male","26-35 years old","$60,000-$90,000/year","Car or motorcycle","White",""
"2016/07/28 5:25:15 PM EST","No","Don’t know if anyone lives nearby;Too much of a hassle to plan;Too much time required;Use my own car;Don't want to have to rely on other people to get where I need to go.","3","","","Male","26-35 years old","More than $90,000/year","Car or motorcycle","White",""
"2016/07/28 5:25:54 PM EST","No","Don’t know if anyone lives nearby;Too much of a hassle to plan;Use Lyft, Uber, taxi, or other ridesharing service","4","","","Male","18-25 years old","$45,000-$60,000/year","Ridesharing services (Uber, Lyft, etc.)","White",""
"2016/07/28 5:26:04 PM EST","Yes","","","Convenience;Have coworkers/peers who live nearby","3","Male","26-35 years old","$60,000-$90,000/year","Car or motorcycle","Prefer not to say",""
"2016/07/28 5:26:32 PM EST","Yes","","","Convenience;Stress-free commute;Eco-friendly","4","Female","36-45 years old","$60,000-$90,000/year","Car or motorcycle","White",""
"2016/07/28 5:26:35 PM EST","No","Don’t know if anyone lives nearby;Too much of a hassle to plan;Use my own car","3","","","Male","26-35 years old","$45,000-$60,000/year","Car or motorcycle","White",""
"2016/07/28 5:27:04 PM EST","No","Don’t know if anyone lives nearby;Too much of a hassle to plan;Use my own car","3","","","Male","36-45 years old","More than $90,000/year","Car or motorcycle","Prefer not to say","It looks like some of the options in the multiple choice are out of order."
"2016/07/28 5:27:22 PM EST","No","Use my own car","2","","","Male","26-35 years old","$60,000-$90,000/year","Car or motorcycle","White",""
"2016/07/28 5:27:29 PM EST","Yes","","","Have coworkers/peers who live nearby;Stress-free commute;Eco-friendly","3","Female","18-25 years old","$60,000-$90,000/year","Car or motorcycle","White",""
"2016/07/28 5:28:23 PM EST","Yes","","","Have coworkers/peers who live nearby;Eco-friendly","5","Female","26-35 years old","Prefer not to say","Car or motorcycle","White",""
"2016/07/28 5:29:37 PM EST","No","Don’t know if anyone lives nearby;Use my own car","3","","","Male","36-45 years old","$60,000-$90,000/year","Car or motorcycle","White",""
"2016/07/28 5:30:02 PM EST","Yes","","","Have coworkers/peers who live nearby;Stress-free commute;Eco-friendly","3","Female","46-55 years old","$60,000-$90,000/year","Car or motorcycle","White",""
"2016/07/28 5:31:30 PM EST","Yes","","","Have coworkers/peers who live nearby;Stress-free commute","2","Male","18-25 years old","$60,000-$90,000/year","Car or motorcycle","White",""
"2016/07/28 5:32:48 PM EST","No","Use my own car","3","","","Male","26-35 years old","Prefer not to say","Car or motorcycle","Prefer not to say",""
"2016/07/28 5:33:23 PM EST","Yes","","","Have coworkers/peers who live nearby;Don't have a car;Eco-friendly","5","Female","26-35 years old","$45,000-$60,000/year","Carpool","White",""
"2016/07/28 5:33:37 PM EST","No","Use my own car","3","","","Male","18-25 years old","Less than $30,000/year","Car or motorcycle","White",""
"2016/07/28 5:34:40 PM EST","No","Don’t know if anyone lives nearby;Too much of a hassle to plan;Too much time required","3","","","Female","18-25 years old","More than $90,000/year","Car or motorcycle","White",""
"2016/07/28 5:36:10 PM EST","No","Too much of a hassle to plan;Use my own car;I don't want to ride with people I don't know every morning.","2","","","Male","26-35 years old","$30,000-$45,000/year","Car or motorcycle","White",""
